name,number,status
PEP 1 – PEP Purpose and Guidelines,1,Active
PEP 224 – Attribute Docstrings,224,Rejected
PEP 221 – Import As,221,Final
PEP 223 – Change the Meaning of ,223,Final
"PEP 220 – Coroutines, Generators, Continuations",220,Rejected
PEP 222 – Web Library Enhancements,222,Deferred
PEP 227 – Statically Nested Scopes,227,Final
PEP 226 – Python 2.1 Release Schedule,226,Final
PEP 225 – Elementwise/Objectwise Operators,225,Rejected
PEP 219 – Stackless Python,219,Deferred
PEP 218 – Adding a Built-In Set Object Type,218,Final
PEP 217 – Display Hook for Interactive Use,217,Final
PEP 216 – Docstring Format,216,Rejected
PEP 215 – String Interpolation,215,Superseded
PEP 214 – Extended Print Statement,214,Final
PEP 213 – Attribute Access Handlers,213,Deferred
PEP 8104 – 2023 Term Steering Council election,8104,Active
PEP 8103 – 2022 Term Steering Council election,8103,Final
PEP 8102 – 2021 Term Steering Council election,8102,Final
PEP 8100 – January 2019 Steering Council election,8100,Final
PEP 8015 – Organization of the Python community,8015,Rejected
PEP 8016 – The Steering Council Model,8016,Accepted
PEP 8101 – 2020 Term Steering Council election,8101,Final
PEP 8013 – The External Council Governance Model,8013,Rejected
PEP 8014 – The Commons Governance Model,8014,Rejected
PEP 8012 – The Community Governance Model,8012,Rejected
PEP 8010 – The Technical Leader Governance Model,8010,Rejected
PEP 8011 – Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
PEP 8001 – Python Governance Voting Process,8001,Final
PEP 8000 – Python Language Governance Proposal Overview,8000,Final
PEP 8002 – Open Source Governance Survey,8002,Final
PEP 3333 – Python Web Server Gateway Interface v1.0.1,3333,Final
PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,3156,Final
PEP 3155 – Qualified name for classes and functions,3155,Final
PEP 3154 – Pickle protocol version 4,3154,Final
PEP 3153 – Asynchronous IO support,3153,Superseded
PEP 3152 – Cofunctions,3152,Rejected
PEP 3151 – Reworking the OS and IO exception hierarchy,3151,Final
PEP 3150 – Statement local namespaces (aka “given” clause),3150,Deferred
PEP 3149 – ABI version tagged .so files,3149,Final
PEP 3147 – PYC Repository Directories,3147,Final
PEP 3148 – futures - execute computations asynchronously,3148,Final
PEP 3146 – Merging Unladen Swallow into CPython,3146,Withdrawn
PEP 3144 – IP Address Manipulation Library for the Python Standard Library,3144,Final
PEP 3142 – Add a “while” clause to generator expressions,3142,Rejected
PEP 3145 – Asynchronous I/O For subprocess.Popen,3145,Withdrawn
PEP 3143 – Standard daemon process library,3143,Deferred
PEP 3141 – A Type Hierarchy for Numbers,3141,Final
"PEP 3140 – str(container) should call str(item), not repr(item)",3140,Rejected
PEP 3139 – Cleaning out sys and the “interpreter” module,3139,Rejected
PEP 3138 – String representation in Python 3000,3138,Final
